query,keywords
large spatio-temporal dataset containing latitude longitude time in csv format ,csv;spatio-temporal;latitude;longitude;time
spatio-temporal data with latitude/longitude and time variables in csv,csv;spatio-temporal;latitude;longitude;time
Provide a free spatio-temporal dataset with big size and CSV format .,free;CSV;spatio-temporal
Datasets for latitude and longtitude data with big size and csv format and free,csv;free;latitude;longtitude
"need a big spatio-temporal dataset  which  contains latitude/longitude and also time variables,with CSV format and also free",CSV;free;spatio-temporal;latitude;longitude;time
"a large spatio-temporal dataset which contains latitude/longitude and time variables, more than 1077 rows, csv format, free",csv;free;1077;spatio-temporal;latitude;longitude;time
a small spatio-temporal dataset with latitude/longitude and time variables,spatio-temporal;latitude;longitude;time
spatio-temporal dataset with big size and CSV format and also free,CSV;free;spatio-temporal
" spatio-temporal, latitude/longitude, time variables, big size, CSV format ",CSV;spatio-temporal;latitude;longitude;time
Which countries have latitude and longitude to query£¿,latitude;longitude
journal editorial board members name country institution,journal editorial board members;name;country;institution
dataset for journal editorial board members: name country institution,journal editorial board members;name;country;institution
"Any datasets for journal editorial board members including name country institution,  or websites to collect such datasets.",websites;journal editorial board members;name;country;institution
journal editorial board members dataset contains name country institution of its members,journal editorial board members;name;country;institution
"need name country institution,or a website to collect it",website;name;country;institution
"dataset for  journal editorial board members with name, country, institution",journal editorial board members;name;country;institution
"journal editorial board members dataset which has name, country and institution",journal editorial board members;name;country;institution
 journal editorial board members including name country institution,journal editorial board members;name;country;institution
"journal editorial board member, name, country, institution",journal editorial board member;name;country;institution
I am looking for some dataset about journal editorial members which includes name and country institution.,journal editorial members;name;country;institution
music movie software piracy,music;movie;software;piracy
music movie software piracy date number,music;movie;software;piracy
"Any data(not only dates) about music, movie and software piracy.",music;movie;software;piracy
"music, movie and software piracy dataset contains much more information ",music;movie;software;piracy
"need data about music, movie and software piracy,best have the number of people who have download illegal stuff",music;movie;software;piracy;people who have download illegal stuff
"dataset about music, movie and software piracy with diverse information",music;movie;software;piracy
"music, movie and software datasets",music;movie;software;piracy
"data about music, movie and software piracy,not only dates",music;movie;software;piracy;dates
"music movie software piracy, illegal, market",music;movie;software;piracy
"I am looking for some music, movie and software privacy datasets to evaluate the number of illegal downloaders",music;movie;software;piracy;number of illegal downloaders
"free US company datasets about name, a description of what it does, location(s), products/services offered",free;US;company;name;description of what it does;location(s);products;services
"free us company data about name, description, location, product",free;us;company;name;description;location;product
"Provide free data of companies, including name, a description of what it does, location(s), products/services offered etc.  ",free;companies;name;description of what it does;location(s);products;services
"free dataset about companies contains its' name, description, location, services offered",free;companies;name;description;location;services offered
"provide name, a description of what it does, location(s), products/services offered etc. of US businesses and be free",US;free;name;description of what it does;location(s);products;services;businesses
